RowNum,Transect_id,year,Total_cm,Code,Full_name,Origin,code_new,fullname_new,Origin_new
1861,2hbs1,2013,19,care,Carex spp.,native,care,Carex sp.,
1862,2hbs1,2013,36,caxx,Carex spp.,native,care,Carex sp.,
1868,2hbs1,2013,3,gras,Unidentified grass,NA,gras,unchanged,
1872,2hbs1,2016,412,blit,"dead, attached BRIN lvs on grnd over bare",exotic,brin,Bromus inermis,
1876,2hbs1,2016,39,cryp,Cryptogam,NA,unchanged,unchanged,
1877,2hbs1,2016,189,gras,Unidentified grass,NA,gras,unchanged,
1878,2hbs1,2016,184,forb,Unidentified forb,NA,unchanged,unchanged,
1890,2hbs1,2019,144,care,Carex spp.,native,care,Carex sp.,
1896,2hbs1,2019,30,erxx,Erigeron spp.,native,erdi,Erigeron divergens,
1901,2hbs1,2019,2,gras,Unidentified grass,NA,gras,unchanged,
1903,2hbs1,2019,15,forb,Unidentified forb,NA,unchanged,unchanged,
1921,2hbs2,1997,173,gras2,Unidentified grass,NA,gras,unchanged,
1956,2hbs2,1998,54,casp,Carex spp.,native,care,Carex sp.,
1974,2hbs2,2008,11,gras,Unidentified grass,NA,gras,unchanged,
1982,2hbs2,2008,44,caxx,Carex spp.,native,care,Carex sp.,
1999,2hbs2,2013,7,euxx,Euphorbia spp.,native,eufe,Euphorbia fendleri,
2003,2hbs2,2013,6,mexx,Mentzelia sp.,NA,unchanged,unchanged,native
2009,2hbs2,2016,527,subs,Unidentified subshrub,NA,unchanged,unchanged,
2013,2hbs2,2016,9,gras,Unidentified grass,NA,gras,unchanged,
2015,2hbs2,2016,285,forb,Unidentified forb,NA,unchanged,unchanged,
2016,2hbs2,2016,55,gras,Unidentified grass,NA,gras,unchanged,
2017,2hbs2,2016,100,forb,Unidentified forb,NA,unchanged,unchanged,
2034,2hbs2,2019,159,mesp,Mentzelia springeri,native,unchanged,unchanged,
2038,2hbs2,2019,3,lasc,Laennecia schiedeana,native,unchanged,unchanged,
2039,2hbs2,2019,25,hevi,Heterotheca villosa,native,unchanged,unchanged,
2040,2hbs2,2019,22,arar,Aristida arizonica,native,unchanged,unchanged,
2044,2hbs2,2019,3,chxx,Chenopodium sp.,NA,unchanged,unchanged,
2045,2hbs2,2019,10,gras,Unidentified grass,NA,gras,unchanged,
2047,2hbs2,2019,110,erxx,Erigeron spp.,native,erfl,Erigeron flagellaris,
2053,2hbu1,1997,208,casp,Carex spp.,native,care,Carex sp.,
2060,2hbu1,1997,10,gras2,Unidentified grass,NA,gras,unchanged,
2065,2hbu1,1998,628,casp,Carex spp.,native,care,Carex sp.,
2092,2hbu1,2008,440,caxx,Carex spp.,native,care,Carex sp.,
2098,2hbu1,2008,33,cixx,Cirsium sp.,native,cine,Cirsium neomexicanum,
2100,2hbu1,2008,14,soxx,Solidago spp.,NA,unchanged,Solidago sp.,native
2107,2hbu1,2013,14,caxx,Carex spp.,native,care,Carex sp.,
2112,2hbu1,2013,31,cixx,Cirsium sp.,native,cine,Cirsium neomexicanum,
2127,2hbu1,2019,16,comp,unknown Composite,NA,unchanged,unchanged,
