"","plot","year","month","spei"
"532","3MAU1","1981","11",0.380747228647594
"533","3LAU1","1981","11",0.380747228647594
"534","3MAU2","1981","11",0.380747228647594
"535","3MBU2","1981","11",0.232774895889674
"536","3MBU1","1981","11",0.232774895889674
"537","3HAU2","1981","11",0.232774895889674
"538","3HBU2","1981","11",0.232774895889674
"539","3U1","1981","11",0.232774895889674
"540","1HAS1","1981","12",-1.09937739205057
"541","1HAS2","1981","12",-1.12863922952266
"542","1HBS1","1981","12",-1.12863922952266
"543","1HBS2","1981","12",-1.09937739205057
"544","1MAS1","1981","12",-1.12863922952266
"545","1MAS2","1981","12",-1.09937739205057
"546","1MBS1","1981","12",-1.12863922952266
"547","1MBS2","1981","12",-1.12863922952266
"548","1U1","1981","12",-1.12863922952266
"549","1U2","1981","12",-1.12863922952266
"550","2HAS1","1981","12",-1.16084608861452
"551","2HAS2","1981","12",-1.16084608861452
"552","2HAU1","1981","12",-1.16084608861452
"553","2HAU2","1981","12",-1.16084608861452
"554","2HBS1","1981","12",-1.15615185439433
"555","2HBS2","1981","12",-1.16084608861452
"556","2HBU1","1981","12",-1.09937739205057
"557","2HBU2","1981","12",-1.16084608861452
"558","2MAS1","1981","12",-1.15615185439433
"559","2MAS2","1981","12",-1.16084608861452
"560","2MAU1","1981","12",-1.16084608861452
"561","2MAU2","1981","12",-1.16084608861452
"562","2MBS1","1981","12",-1.15615185439433
"563","2MBS2","1981","12",-1.16084608861452
"564","2MBS3","1981","12",-1.16084608861452
"565","2MBU1","1981","12",-1.16084608861452
"566","2MBU2","1981","12",-1.16084608861452
"567","2U1","1981","12",-1.15615185439433
"568","2U2","1981","12",-1.15615185439433
"569","3HAS1","1981","12",-1.15615185439433
"570","3HAS2","1981","12",-1.16084608861452
"571","3HBS1","1981","12",-1.15615185439433
"572","3HBS2","1981","12",-1.15615185439433
"573","3MAS1","1981","12",-1.15615185439433
"574","3MAS2","1981","12",-1.15615185439433
"575","3MBS1","1981","12",-1.15615185439433
"576","3MBS2","1981","12",-1.15615185439433
"577","3MBS3","1981","12",-1.15615185439433
"578","3U2","1981","12",-1.16084608861452
"579","3HBU1","1981","12",-1.09937739205057
"580","3HAU1","1981","12",-1.09937739205057
"581","3MAU1","1981","12",-1.10436755200822
"582","3LAU1","1981","12",-1.10436755200822
"583","3MAU2","1981","12",-1.10436755200822
"584","3MBU2","1981","12",-1.10104896829405
"585","3MBU1","1981","12",-1.10104896829405
"586","3HAU2","1981","12",-1.10104896829405
"587","3HBU2","1981","12",-1.10104896829405
"588","3U1","1981","12",-1.10104896829405
"589","1HAS1","1982","01",-0.803641445781351
"590","1HAS2","1982","01",-0.785210458040577
"591","1HBS1","1982","01",-0.785210458040577
"592","1HBS2","1982","01",-0.803641445781351
"593","1MAS1","1982","01",-0.785210458040577
"594","1MAS2","1982","01",-0.803641445781351
"595","1MBS1","1982","01",-0.785210458040577
"596","1MBS2","1982","01",-0.785210458040577
"597","1U1","1982","01",-0.785210458040577
"598","1U2","1982","01",-0.785210458040577
"599","2HAS1","1982","01",-0.854097247725967
"600","2HAS2","1982","01",-0.854097247725967
"601","2HAU1","1982","01",-0.854097247725967
"602","2HAU2","1982","01",-0.854097247725967
"603","2HBS1","1982","01",-0.831187045934546
"604","2HBS2","1982","01",-0.854097247725967
"605","2HBU1","1982","01",-0.803641445781351
"606","2HBU2","1982","01",-0.854097247725967
"607","2MAS1","1982","01",-0.831187045934546
"608","2MAS2","1982","01",-0.854097247725967
"609","2MAU1","1982","01",-0.854097247725967
"610","2MAU2","1982","01",-0.854097247725967
"611","2MBS1","1982","01",-0.831187045934546
"612","2MBS2","1982","01",-0.854097247725967
"613","2MBS3","1982","01",-0.854097247725967
"614","2MBU1","1982","01",-0.854097247725967
"615","2MBU2","1982","01",-0.854097247725967
"616","2U1","1982","01",-0.831187045934546
"617","2U2","1982","01",-0.831187045934546
"618","3HAS1","1982","01",-0.831187045934546
"619","3HAS2","1982","01",-0.854097247725967
"620","3HBS1","1982","01",-0.831187045934546
"621","3HBS2","1982","01",-0.831187045934546
"622","3MAS1","1982","01",-0.831187045934546
"623","3MAS2","1982","01",-0.831187045934546
"624","3MBS1","1982","01",-0.831187045934546
"625","3MBS2","1982","01",-0.831187045934546
"626","3MBS3","1982","01",-0.831187045934546
"627","3U2","1982","01",-0.854097247725967
"628","3HBU1","1982","01",-0.803641445781351
"629","3HAU1","1982","01",-0.803641445781351
"630","3MAU1","1982","01",-0.864711914873616
"631","3LAU1","1982","01",-0.864711914873616
"632","3MAU2","1982","01",-0.864711914873616
"633","3MBU2","1982","01",-0.838055725412567
"634","3MBU1","1982","01",-0.838055725412567
"635","3HAU2","1982","01",-0.838055725412567
"636","3HBU2","1982","01",-0.838055725412567
"637","3U1","1982","01",-0.838055725412567
"638","1HAS1","1982","02",0.162096549223911
"639","1HAS2","1982","02",0.25756087253359
"640","1HBS1","1982","02",0.25756087253359
"641","1HBS2","1982","02",0.162096549223911
"642","1MAS1","1982","02",0.25756087253359
"643","1MAS2","1982","02",0.162096549223911
"644","1MBS1","1982","02",0.25756087253359
"645","1MBS2","1982","02",0.25756087253359
"646","1U1","1982","02",0.25756087253359
"647","1U2","1982","02",0.25756087253359
"648","2HAS1","1982","02",0.0379674569221147
"649","2HAS2","1982","02",0.0379674569221147
"650","2HAU1","1982","02",0.0379674569221147
"651","2HAU2","1982","02",0.0379674569221147
"652","2HBS1","1982","02",0.085503112276469
